rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.8309,0.7952,0.7778,1.0,13,7,False,True
2,frame_0002.jpg,0.8,0.7853,0.7706,0.6667,1.0,12,6,False,True
3,frame_0328.jpg,131.2,0.7588,0.8856,1.0,0.08,17,9,False,True
4,frame_0074.jpg,29.6,0.7421,0.8843,0.3333,1.0,11,3,False,True
5,frame_0033.jpg,13.2,0.7356,0.7378,0.5556,1.0,12,5,False,False
6,frame_0030.jpg,12.0,0.7267,0.6534,0.6667,1.0,11,6,False,False
7,frame_0070.jpg,28.0,0.7235,0.7804,0.4444,1.0,12,4,False,False
8,frame_0386.jpg,154.4,0.7199,0.8771,0.7778,0.24,13,7,False,True
9,frame_0079.jpg,31.6,0.7196,0.7859,0.5556,0.8,12,5,False,True
10,frame_0124.jpg,49.6,0.7177,0.83,0.5556,0.68,12,5,False,True
11,frame_0016.jpg,6.4,0.7124,0.7581,0.4444,1.0,8,4,False,True
12,frame_0301.jpg,120.4,0.7053,0.9013,0.5556,0.44,14,5,False,True
13,frame_0186.jpg,74.4,0.696,0.8426,0.8889,0.04,13,8,False,True
14,frame_0126.jpg,50.4,0.6906,0.7439,0.5556,0.76,11,5,False,False
15,frame_0076.jpg,30.4,0.6861,0.6709,0.5556,0.92,12,5,False,False
16,frame_0032.jpg,12.8,0.6847,0.6361,0.5556,1.0,15,5,False,False
17,frame_0133.jpg,53.2,0.6813,0.7627,0.3333,1.0,11,3,False,True
18,frame_0001.jpg,0.4,0.6804,0.7608,0.3333,1.0,14,3,False,False
19,frame_0072.jpg,28.8,0.6777,0.6888,0.4444,1.0,13,4,False,False
20,frame_0171.jpg,68.4,0.6745,0.773,0.6667,0.44,10,6,False,True
21,frame_0075.jpg,30.0,0.6744,0.6981,0.4444,0.96,10,4,False,False
22,frame_0006.jpg,2.4,0.6706,0.6746,0.4444,1.0,10,4,False,False
23,frame_0071.jpg,28.4,0.6612,0.6558,0.4444,1.0,13,4,False,False
24,frame_0128.jpg,51.2,0.6563,0.7766,0.3333,0.84,11,3,False,False
25,frame_0029.jpg,11.6,0.6562,0.6458,0.4444,1.0,12,4,False,False
26,frame_0231.jpg,92.4,0.6537,0.91,0.5556,0.16,13,5,False,False
27,frame_0132.jpg,52.8,0.6503,0.634,0.4444,1.0,10,4,False,False
28,frame_0230.jpg,92.0,0.6494,0.7842,0.7778,0.12,16,7,False,False
29,frame_0127.jpg,50.8,0.6473,0.7079,0.4444,0.8,12,4,False,False
30,frame_0293.jpg,117.2,0.6443,0.6512,0.5556,0.76,10,5,False,False
31,frame_0004.jpg,1.6,0.6438,0.6876,0.3333,1.0,13,3,False,False
32,frame_0073.jpg,29.2,0.6396,0.7458,0.2222,1.0,12,2,False,False
33,frame_0294.jpg,117.6,0.6372,0.853,0.2222,0.72,9,2,False,False
34,frame_0080.jpg,32.0,0.6367,0.7028,0.4444,0.76,11,4,False,False
35,frame_0374.jpg,149.6,0.6361,0.8589,0.5556,0.2,14,5,False,False
36,frame_0000.jpg,0.0,0.6358,0.605,0.4444,1.0,13,4,False,False
37,frame_0078.jpg,31.2,0.6335,0.7311,0.3333,0.84,11,3,False,False
38,frame_0015.jpg,6.0,0.6327,0.5987,0.4444,1.0,8,4,False,False
39,frame_0388.jpg,155.2,0.6283,0.8592,0.5556,0.16,9,5,False,False
40,frame_0176.jpg,70.4,0.6161,0.9362,0.3333,0.24,9,3,False,False
41,frame_0125.jpg,50.0,0.6158,0.677,0.4444,0.72,12,4,False,False
42,frame_0278.jpg,111.2,0.6157,0.8368,0.4444,0.32,12,4,False,False
43,frame_0302.jpg,120.8,0.6147,0.736,0.5556,0.4,16,5,False,False
44,frame_0170.jpg,68.0,0.6146,0.7038,0.5556,0.48,11,5,False,False
45,frame_0028.jpg,11.2,0.6143,0.562,0.4444,1.0,9,4,False,False
46,frame_0290.jpg,116.0,0.614,0.7081,0.3333,0.8,11,3,False,False
47,frame_0119.jpg,47.6,0.6133,0.6346,0.6667,0.48,12,6,False,False
48,frame_0399.jpg,159.6,0.6083,0.7712,0.5556,0.28,11,5,False,False
49,frame_0077.jpg,30.8,0.6058,0.7929,0.1111,0.88,11,1,False,False
50,frame_0296.jpg,118.4,0.6057,0.6888,0.4444,0.64,10,4,False,False
51,frame_0021.jpg,8.4,0.6021,0.5376,0.4444,1.0,9,4,False,False
52,frame_0377.jpg,150.8,0.6006,0.7531,0.6667,0.12,14,6,False,False
53,frame_0067.jpg,26.8,0.5983,0.5967,0.3333,1.0,14,3,False,False
54,frame_0026.jpg,10.4,0.5981,0.6629,0.2222,1.0,7,2,False,False
55,frame_0375.jpg,150.0,0.5981,0.9162,0.3333,0.2,11,3,False,False
56,frame_0299.jpg,119.6,0.5973,0.5865,0.6667,0.52,11,6,False,False
57,frame_0114.jpg,45.6,0.5968,0.7482,0.5556,0.28,13,5,False,False
58,frame_0384.jpg,153.6,0.5956,0.8605,0.4444,0.16,15,4,False,False
59,frame_0131.jpg,52.4,0.5954,0.6068,0.3333,0.96,8,3,False,False
60,frame_0027.jpg,10.8,0.5947,0.5228,0.4444,1.0,8,4,False,False
61,frame_0097.jpg,38.8,0.5939,0.8224,0.5556,0.08,12,5,False,False
62,frame_0385.jpg,154.0,0.5937,0.7741,0.5556,0.2,17,5,False,False
63,frame_0297.jpg,118.8,0.5925,0.6116,0.5556,0.6,11,5,False,False
64,frame_0130.jpg,52.0,0.592,0.4827,0.5556,0.92,12,5,False,False
65,frame_0283.jpg,113.2,0.592,0.776,0.3333,0.52,11,3,False,False
66,frame_0068.jpg,27.2,0.5905,0.6477,0.2222,1.0,11,2,False,False
67,frame_0287.jpg,114.8,0.5905,0.709,0.3333,0.68,10,3,False,False
68,frame_0394.jpg,157.6,0.5904,0.7488,0.6667,0.08,11,6,False,False
69,frame_0298.jpg,119.2,0.5867,0.7494,0.3333,0.56,10,3,False,False
70,frame_0089.jpg,35.6,0.5849,0.6765,0.5556,0.4,10,5,False,False
71,frame_0383.jpg,153.2,0.5843,0.7205,0.6667,0.12,16,6,False,False
72,frame_0286.jpg,114.4,0.5802,0.7045,0.3333,0.64,11,3,False,False
73,frame_0129.jpg,51.6,0.5774,0.6029,0.3333,0.88,10,3,False,False
74,frame_0291.jpg,116.4,0.5744,0.7461,0.1111,0.84,10,1,False,False
75,frame_0017.jpg,6.8,0.5734,0.5468,0.3333,1.0,9,3,False,False
76,frame_0005.jpg,2.0,0.573,0.6127,0.2222,1.0,10,2,False,False
77,frame_0329.jpg,131.6,0.573,0.7807,0.5556,0.08,16,5,False,False
78,frame_0378.jpg,151.2,0.5718,0.9116,0.3333,0.08,13,3,False,False
79,frame_0275.jpg,110.0,0.5698,0.793,0.4444,0.2,15,4,False,False
80,frame_0379.jpg,151.6,0.5693,0.856,0.4444,0.04,14,4,False,False
